spring number,spring location,spring name,long,lat,type,well_depth,flow_rate_mean,flow_rate_min,flow_rate_max,temp_mean,temp_min,temp_max,reference,reference_DOI,reference_link,EC,pH,sample_temperature,TDS,TDS_min,TDS_max,Na,Ca,Mg,K,NH4,Cl,F,SO4,HCO3,CO3,NO3,Si,Li,SiO2,reference_hydrochemistry,doi_hydrochemistry,reference_link_hydrochemistry,delta_18O,delta_2H,3H,delta_14C,delta_13C,4He,3He,reference_isotope_data,DOI_isotope_data,reference_link_isotope_data
182,Acqui Terme,10,8.55,44.7,spring or shallow well,,,,,12.4,,,Marini et al. (2000),https://doi.org/10.1016/S0883-2927(99)00094-3,https://www.researchgate.net/publication/237605259_Fluid_Geochemistry_of_the_Acqui_Terme-Visone_Geothermal_Area_Piemonte_Italy,,6.85,,,,,12.7,175,27,3.04,n/a,30.5,n/a,73.2,502,n/a,50.2,n/a,0.016,19.4,Marini et al. 2000,https://doi.org/10.1016/S0883-2927(99)00094-3,,,,,,,,,,,
183,Acqui Terme,11,8.516666667,44.6,spring or shallow well,,,,,10.9,,,Marini et al. (2000),https://doi.org/10.1016/S0883-2927(99)00094-3,https://www.researchgate.net/publication/237605259_Fluid_Geochemistry_of_the_Acqui_Terme-Visone_Geothermal_Area_Piemonte_Italy,,7.52,,,,,4.48,59.8,35.4,1.82,n/a,3.89,n/a,19.2,342,n/a,3.39,n/a,n/a,12.1,Marini et al. (2000),https://doi.org/10.1016/S0883-2927(99)00094-3,,-8.64,-58.4,,,,,,Marini et al. (2000),https://doi.org/10.1016/S0883-2927(99)00094-3,
184,Acqui Terme,12,8.5,44.6333333,spring or shallow well,,,,,12.5,,,Marini et al. (2000),https://doi.org/10.1016/S0883-2927(99)00094-3,https://www.researchgate.net/publication/237605259_Fluid_Geochemistry_of_the_Acqui_Terme-Visone_Geothermal_Area_Piemonte_Italy,,7.29,,,,,8.16,93.3,37.4,1.18,n/a,8.12,n/a,88.7,378,n/a,0.42,n/a,0.01,18.1,Marini et al. 2000,https://doi.org/10.1016/S0883-2927(99)00094-3,,-8.92,-58.9,,,,,,Marini et al. (2000),https://doi.org/10.1016/S0883-2927(99)00094-3,
185,Acqui Terme,13,8.5,44.6333333,spring or shallow well,,,,,9.6,,,Marini et al. (2000),https://doi.org/10.1016/S0883-2927(99)00094-3,https://www.researchgate.net/publication/237605259_Fluid_Geochemistry_of_the_Acqui_Terme-Visone_Geothermal_Area_Piemonte_Italy,,7.32,,,,,3.41,68.6,33.4,0.42,n/a,5.05,n/a,35.4,331,n/a,12.8,n/a,n/a,14.2,Marini et al. 2000,https://doi.org/10.1016/S0883-2927(99)00094-3,,,,,,,,,,,
186,Acqui Terme,14,8.5,44.6333333,spring or shallow well,,,,,11.3,,,Marini et al. (2000),https://doi.org/10.1016/S0883-2927(99)00094-3,https://www.researchgate.net/publication/237605259_Fluid_Geochemistry_of_the_Acqui_Terme-Visone_Geothermal_Area_Piemonte_Italy,,7.45,,,,,4.22,77.1,27.9,0.56,n/a,5.63,n/a,67.1,297,n/a,2.98,n/a,n/a,20.4,Marini et al. 2000,https://doi.org/10.1016/S0883-2927(99)00094-3,,,,,,,,,,,
187,Acqui Terme,15,8.5,44.6833333,spring or shallow well,,,,,11.4,,,Marini et al. (2000),https://doi.org/10.1016/S0883-2927(99)00094-3,https://www.researchgate.net/publication/237605259_Fluid_Geochemistry_of_the_Acqui_Terme-Visone_Geothermal_Area_Piemonte_Italy,,7.11,,,,,229,102,12.5,4.5,n/a,390,2.2,122,233,n/a,15.4,n/a,0.43,24.8,Marini et al. 2000,https://doi.org/10.1016/S0883-2927(99)00094-3,,,,,,,,,,,
188,Acqui Terme,16,8.616666667,44.6166667,spring or shallow well,,,,,11.8,,,Marini et al. (2000),https://doi.org/10.1016/S0883-2927(99)00094-3,https://www.researchgate.net/publication/237605259_Fluid_Geochemistry_of_the_Acqui_Terme-Visone_Geothermal_Area_Piemonte_Italy,,7.8,,,,,6.22,32.5,68.5,1.06,n/a,6.45,n/a,74.8,370,n/a,1.22,n/a,n/a,41.3,Marini et al. 2000,https://doi.org/10.1016/S0883-2927(99)00094-3,,,,,,,,,,,
189,Acqui Terme,17,8.516666667,44.6,spring or shallow well,,,,,10.2,,,Marini et al. (2000),https://doi.org/10.1016/S0883-2927(99)00094-3,https://www.researchgate.net/publication/237605259_Fluid_Geochemistry_of_the_Acqui_Terme-Visone_Geothermal_Area_Piemonte_Italy,,7.7,,,,,4.72,63.1,34.7,1.17,n/a,7.15,n/a,32.5,322,n/a,16.6,n/a,n/a,10,Marini et al. 2000,https://doi.org/10.1016/S0883-2927(99)00094-3,,,,,,,,,,,
190,Acqui Terme,18,8.5625,44.4991667,spring or shallow well,,,,,8.4,,,Marini et al. (2000),https://doi.org/10.1016/S0883-2927(99)00094-3,https://www.researchgate.net/publication/237605259_Fluid_Geochemistry_of_the_Acqui_Terme-Visone_Geothermal_Area_Piemonte_Italy,,7.25,,,,,2.55,18.2,1.04,0.36,n/a,3.78,n/a,2.19,56,n/a,0.05,n/a,n/a,8.4,Marini et al. 2000,https://doi.org/10.1016/S0883-2927(99)00094-3,,-8.18,-59,,,,,,Marini et al. (2000),https://doi.org/10.1016/S0883-2927(99)00094-3,
191,Acqui Terme,19,8.466666667,44.5666667,spring or shallow well,,,,,9,,,Marini et al. (2000),https://doi.org/10.1016/S0883-2927(99)00094-3,https://www.researchgate.net/publication/237605259_Fluid_Geochemistry_of_the_Acqui_Terme-Visone_Geothermal_Area_Piemonte_Italy,,8.16,,,,,2.9,52.3,5.67,0.84,n/a,8.01,n/a,17.3,168,n/a,1.16,n/a,n/a,8.6,Marini et al. 2000,https://doi.org/10.1016/S0883-2927(99)00094-3,,,,,,,,,,,
192,Acqui Terme,20,8.533333333,44.5333333,spring or shallow well,,,,,7.7,,,Marini et al. (2000),https://doi.org/10.1016/S0883-2927(99)00094-3,https://www.researchgate.net/publication/237605259_Fluid_Geochemistry_of_the_Acqui_Terme-Visone_Geothermal_Area_Piemonte_Italy,,7.67,,,,,6.06,26.1,2.27,0.82,n/a,4.92,n/a,8.19,1.51,n/a,n/a,n/a,n/a,15.2,Marini et al. 2000,https://doi.org/10.1016/S0883-2927(99)00094-3,,-9.02,-61,,,,,,Marini et al. (2000),https://doi.org/10.1016/S0883-2927(99)00094-3,
193,Acqui Terme,21,8.583333056,44.6166667,spring or shallow well,,,,,10.5,,,Marini et al. (2000),https://doi.org/10.1016/S0883-2927(99)00094-3,https://www.researchgate.net/publication/237605259_Fluid_Geochemistry_of_the_Acqui_Terme-Visone_Geothermal_Area_Piemonte_Italy,,7.38,,,,,6.65,95.6,24.6,0.58,n/a,4.17,n/a,95.5,311,n/a,n/a,n/a,0.017,26.6,Marini et al. 2000,https://doi.org/10.1016/S0883-2927(99)00094-3,,,,,,,,,,,
194,Acqui Terme,22,8.466666667,44.5666667,spring or shallow well,,,,,9,,,Marini et al. (2000),https://doi.org/10.1016/S0883-2927(99)00094-3,https://www.researchgate.net/publication/237605259_Fluid_Geochemistry_of_the_Acqui_Terme-Visone_Geothermal_Area_Piemonte_Italy,,7.2,,,,,5.45,109,20.7,1.47,n/a,6.13,n/a,70.8,361,n/a,n/a,n/a,0.011,12,Marini et al. 2000,https://doi.org/10.1016/S0883-2927(99)00094-3,,,,,,,,,,,
195,Acqui Terme,23,8.466666667,44.5666667,spring or shallow well,,,,,9.5,,,Marini et al. (2000),https://doi.org/10.1016/S0883-2927(99)00094-3,https://www.researchgate.net/publication/237605259_Fluid_Geochemistry_of_the_Acqui_Terme-Visone_Geothermal_Area_Piemonte_Italy,,7.15,,,,,4.74,129,24.6,1.44,n/a,3.11,n/a,67.3,382,n/a,2.4,n/a,0.011,14.1,Marini et al. 2000,https://doi.org/10.1016/S0883-2927(99)00094-3,,,,,,,,,,,
196,Acqui Terme,24,8.5,44.5666667,spring or shallow well,,,,,8.7,,,Marini et al. (2000),https://doi.org/10.1016/S0883-2927(99)00094-3,https://www.researchgate.net/publication/237605259_Fluid_Geochemistry_of_the_Acqui_Terme-Visone_Geothermal_Area_Piemonte_Italy,,6.87,,,,,4.66,12.6,17.6,1.31,n/a,5.04,n/a,12.2,119,n/a,6.13,n/a,n/a,19.3,Marini et al. 2000,https://doi.org/10.1016/S0883-2927(99)00094-3,,-8.84,-62,,,,,,Marini et al. (2000),https://doi.org/10.1016/S0883-2927(99)00094-3,
197,Acqui Terme,25,8.5,44.6,spring or shallow well,,,,,9,,,Marini et al. (2000),https://doi.org/10.1016/S0883-2927(99)00094-3,https://www.researchgate.net/publication/237605259_Fluid_Geochemistry_of_the_Acqui_Terme-Visone_Geothermal_Area_Piemonte_Italy,,7.61,,,,,5.08,85.9,9.36,0.52,n/a,5.89,n/a,31.4,260,n/a,7.3,n/a,n/a,9.4,Marini et al. 2000,https://doi.org/10.1016/S0883-2927(99)00094-3,,-8.57,-59.8,,,,,,Marini et al. (2000),https://doi.org/10.1016/S0883-2927(99)00094-3,
198,Acqui Terme,26,8.466666667,44.6333333,spring or shallow well,,,,,15.2,,,Marini et al. (2000),https://doi.org/10.1016/S0883-2927(99)00094-3,https://www.researchgate.net/publication/237605259_Fluid_Geochemistry_of_the_Acqui_Terme-Visone_Geothermal_Area_Piemonte_Italy,,7.45,,,,,19.9,58.5,42.8,4.15,n/a,10.9,n/a,65,364,n/a,0.53,n/a,0.03,15.5,Marini et al. 2000,https://doi.org/10.1016/S0883-2927(99)00094-3,,,,,,,,,,,
199,Acqui Terme,27,8.466666667,44.6333333,spring or shallow well,,,,,13.2,,,Marini et al. (2000),https://doi.org/10.1016/S0883-2927(99)00094-3,https://www.researchgate.net/publication/237605259_Fluid_Geochemistry_of_the_Acqui_Terme-Visone_Geothermal_Area_Piemonte_Italy,,7.35,,,,,5.1,110,26.8,1.84,n/a,5.28,n/a,103,365,n/a,1.3,n/a,n/a,12.5,Marini et al. 2000,https://doi.org/10.1016/S0883-2927(99)00094-3,,,,,,,,,,,
200,Acqui Terme,28,8.466666667,44.6333333,spring or shallow well,,,,,17.4,,,Marini et al. (2000),https://doi.org/10.1016/S0883-2927(99)00094-3,https://www.researchgate.net/publication/237605259_Fluid_Geochemistry_of_the_Acqui_Terme-Visone_Geothermal_Area_Piemonte_Italy,,7.46,,,,,35.1,87.5,11.6,4.54,n/a,7.49,n/a,73,315,n/a,7.87,n/a,0.032,9.9,Marini et al. 2000,https://doi.org/10.1016/S0883-2927(99)00094-3,,,,,,,,,,,
201,Acqui Terme,29,8.466666667,44.6333333,spring or shallow well,,,,,18.7,,,Marini et al. (2000),https://doi.org/10.1016/S0883-2927(99)00094-3,https://www.researchgate.net/publication/237605259_Fluid_Geochemistry_of_the_Acqui_Terme-Visone_Geothermal_Area_Piemonte_Italy,,7.58,,,,,40.3,49.7,37.1,3.33,n/a,4.52,n/a,46.5,391,n/a,1.65,n/a,0.037,17.6,Marini et al. 2000,https://doi.org/10.1016/S0883-2927(99)00094-3,,,,,,,,,,,
202,Acqui Terme,30,8.466666667,44.6666667,spring or shallow well,,,,,11.7,,,Marini et al. (2000),https://doi.org/10.1016/S0883-2927(99)00094-3,https://www.researchgate.net/publication/237605259_Fluid_Geochemistry_of_the_Acqui_Terme-Visone_Geothermal_Area_Piemonte_Italy,,7.37,,,,,11,119,21.9,6.16,n/a,28.1,n/a,82.7,341,n/a,34.6,n/a,0.015,14.3,Marini et al. 2000,https://doi.org/10.1016/S0883-2927(99)00094-3,,,,,,,,,,,
203,Acqui Terme,31,8.483333333,44.6666667,spring or shallow well,,,,,30.1,,,Marini et al. (2000),https://doi.org/10.1016/S0883-2927(99)00094-3,https://www.researchgate.net/publication/237605259_Fluid_Geochemistry_of_the_Acqui_Terme-Visone_Geothermal_Area_Piemonte_Italy,,7.38,,,,,188,46.8,40,5.14,n/a,47.8,n/a,273,476,n/a,3.68,n/a,0.1,22.5,Marini et al. 2000,https://doi.org/10.1016/S0883-2927(99)00094-3,,,,,,,,,,,
204,Acqui Terme,32,8.583333056,44.6166667,spring or shallow well,,,,,11,,,Marini et al. (2000),https://doi.org/10.1016/S0883-2927(99)00094-3,https://www.researchgate.net/publication/237605259_Fluid_Geochemistry_of_the_Acqui_Terme-Visone_Geothermal_Area_Piemonte_Italy,,7.38,,,,,3.31,91,27.4,0.4,n/a,3.77,n/a,135,255,n/a,0.52,n/a,0.012,24.7,Marini et al. 2000,https://doi.org/10.1016/S0883-2927(99)00094-3,,-8.25,-59.7,,,,,,Marini et al. (2000),https://doi.org/10.1016/S0883-2927(99)00094-3,
205,Acqui Terme,33,8.516666667,44.6666667,spring or shallow well,,,,,11.3,,,Marini et al. (2000),https://doi.org/10.1016/S0883-2927(99)00094-3,https://www.researchgate.net/publication/237605259_Fluid_Geochemistry_of_the_Acqui_Terme-Visone_Geothermal_Area_Piemonte_Italy,,7.07,,,,,27.9,143,49.5,2.34,n/a,36.4,n/a,176,469,n/a,9.38,n/a,0.028,24.7,Marini et al. 2000,https://doi.org/10.1016/S0883-2927(99)00094-3,,-8.33,-58.6,,,,,,Marini et al. (2000),https://doi.org/10.1016/S0883-2927(99)00094-3,
206,Acqui Terme,34,8.566666667,44.7,spring or shallow well,,,,,11,,,Marini et al. (2000),https://doi.org/10.1016/S0883-2927(99)00094-3,https://www.researchgate.net/publication/237605259_Fluid_Geochemistry_of_the_Acqui_Terme-Visone_Geothermal_Area_Piemonte_Italy,,7.18,,,,,7.45,132,29.3,2.96,n/a,12.5,n/a,65,440,n/a,33.7,n/a,n/a,16.5,Marini et al. 2000,https://doi.org/10.1016/S0883-2927(99)00094-3,,,,,,,,,,,
207,Acqui Terme,35,8.583333333,44.6666667,spring or shallow well,,,,,10.9,,,Marini et al. (2000),https://doi.org/10.1016/S0883-2927(99)00094-3,https://www.researchgate.net/publication/237605259_Fluid_Geochemistry_of_the_Acqui_Terme-Visone_Geothermal_Area_Piemonte_Italy,,7.19,,,,,3.74,118,23.9,2.03,n/a,4.76,n/a,61.8,399,n/a,2.6,n/a,0.02,28.2,Marini et al. 2000,https://doi.org/10.1016/S0883-2927(99)00094-3,,,,,,,,,,,
208,Acqui Terme,36,8.5,44.6,spring or shallow well,,,,,9.4,,,Marini et al. (2000),https://doi.org/10.1016/S0883-2927(99)00094-3,https://www.researchgate.net/publication/237605259_Fluid_Geochemistry_of_the_Acqui_Terme-Visone_Geothermal_Area_Piemonte_Italy,,6.92,,,,,3.25,45.8,23.3,0.28,n/a,3.53,n/a,22.3,221,n/a,6.79,n/a,n/a,18,Marini et al. 2000,https://doi.org/10.1016/S0883-2927(99)00094-3,,,,,,,,,,,
209,Acqui Terme,37,8.5,44.6,spring or shallow well,,,,,7.6,,,Marini et al. (2000),https://doi.org/10.1016/S0883-2927(99)00094-3,https://www.researchgate.net/publication/237605259_Fluid_Geochemistry_of_the_Acqui_Terme-Visone_Geothermal_Area_Piemonte_Italy,,7.54,,,,,5.93,44.1,12.4,0.17,n/a,3.76,n/a,10.2,187,n/a,1.82,n/a,n/a,9.7,Marini et al. 2000,https://doi.org/10.1016/S0883-2927(99)00094-3,,,,,,,,,,,
210,Acqui Terme,38,8.483333333,44.5833333,spring or shallow well,,,,,10,,,Marini et al. (2000),https://doi.org/10.1016/S0883-2927(99)00094-3,https://www.researchgate.net/publication/237605259_Fluid_Geochemistry_of_the_Acqui_Terme-Visone_Geothermal_Area_Piemonte_Italy,,7.51,,,,,5.18,64.8,32,0.45,n/a,6,n/a,29.1,310,n/a,9.89,n/a,n/a,24,Marini et al. 2000,https://doi.org/10.1016/S0883-2927(99)00094-3,,-8.94,-57.4,,,,,,Marini et al. (2000),https://doi.org/10.1016/S0883-2927(99)00094-3,
211,Acqui Terme,39,8.533333333,44.5333333,spring or shallow well,,,,,7.3,,,Marini et al. (2000),https://doi.org/10.1016/S0883-2927(99)00094-3,https://www.researchgate.net/publication/237605259_Fluid_Geochemistry_of_the_Acqui_Terme-Visone_Geothermal_Area_Piemonte_Italy,,7.43,,,,,5.29,14.4,26,0.3,n/a,7.88,n/a,10.5,154,n/a,8.98,n/a,n/a,30.3,Marini et al. 2000,https://doi.org/10.1016/S0883-2927(99)00094-3,,-9.25,-59.5,,,,,,Marini et al. (2000),https://doi.org/10.1016/S0883-2927(99)00094-3,
212,Acqui Terme,40,8.45,44.5833333,spring or shallow well,,,,,13.7,,,Marini et al. (2000),https://doi.org/10.1016/S0883-2927(99)00094-3,https://www.researchgate.net/publication/237605259_Fluid_Geochemistry_of_the_Acqui_Terme-Visone_Geothermal_Area_Piemonte_Italy,,7.55,,,,,4.17,104,23.9,2.13,n/a,11.1,n/a,52,348,n/a,9.31,n/a,0.009,13.9,Marini et al. 2000,https://doi.org/10.1016/S0883-2927(99)00094-3,,-9.05,-61.2,,,,,,Marini et al. (2000),https://doi.org/10.1016/S0883-2927(99)00094-3,
213,Acqui Terme,41,8.5,44.5166667,spring or shallow well,,,,,6,,,Marini et al. (2000),https://doi.org/10.1016/S0883-2927(99)00094-3,https://www.researchgate.net/publication/237605259_Fluid_Geochemistry_of_the_Acqui_Terme-Visone_Geothermal_Area_Piemonte_Italy,,7.2,,,,,7.64,51.8,26.2,0.27,n/a,20.9,n/a,15.9,246,n/a,1.48,n/a,n/a,18,Marini et al. 2000,https://doi.org/10.1016/S0883-2927(99)00094-3,,,,,,,,,,,
214,Acqui Terme,42,8.533333333,44.5333333,spring or shallow well,,,,,9.2,,,Marini et al. (2000),https://doi.org/10.1016/S0883-2927(99)00094-3,https://www.researchgate.net/publication/237605259_Fluid_Geochemistry_of_the_Acqui_Terme-Visone_Geothermal_Area_Piemonte_Italy,,8.23,,,,,1.8,19.9,33.2,0.18,n/a,4.22,n/a,8.1,211,n/a,2.09,n/a,n/a,37.9,Marini et al. 2000,https://doi.org/10.1016/S0883-2927(99)00094-3,,-9.02,-64.5,,,,,,Marini et al. (2000),https://doi.org/10.1016/S0883-2927(99)00094-3,
215,Acqui Terme,Cascina Corsina,8.516666667,44.6666667,well,65,,,,13.7,,,Marini et al. (2000),https://doi.org/10.1016/S0883-2927(99)00094-3,https://www.researchgate.net/publication/237605259_Fluid_Geochemistry_of_the_Acqui_Terme-Visone_Geothermal_Area_Piemonte_Italy,,7.58,,,,,4620,425,196,25.8,n/a,8895,1,4.3,85,n/a,n/a,n/a,0.22,13.4,Marini et al. 2000,https://doi.org/10.1016/S0883-2927(99)00094-3,,-5.58,-47.3,,,,,,Marini et al. (2000),https://doi.org/10.1016/S0883-2927(99)00094-3,
216,Acqui Terme,44,8.5,44.6833333,spring or shallow well,,,,,37.9,,,Marini et al. (2000),https://doi.org/10.1016/S0883-2927(99)00094-3,https://www.researchgate.net/publication/237605259_Fluid_Geochemistry_of_the_Acqui_Terme-Visone_Geothermal_Area_Piemonte_Italy,,8.73,,,,,501,78.7,0.23,8.82,n/a,767,7.6,171,26,n/a,n/a,n/a,0.92,28.4,Marini et al. 2000,https://doi.org/10.1016/S0883-2927(99)00094-3,,,,,,,,,,,
217,Acqui Terme,45,8.65,44.6,spring or shallow well,,,,,11,,,Marini et al. (2000),https://doi.org/10.1016/S0883-2927(99)00094-3,https://www.researchgate.net/publication/237605259_Fluid_Geochemistry_of_the_Acqui_Terme-Visone_Geothermal_Area_Piemonte_Italy,,7.53,,,,,105,60.3,25.2,8.62,n/a,71.4,n/a,105,348,n/a,n/a,n/a,0.046,20.4,Marini et al. 2000,https://doi.org/10.1016/S0883-2927(99)00094-3,,,,,,,,,,,
218,Acqui Terme,46,8.5,44.6833333,spring or shallow well,,,,,32,,,Marini et al. (2000),https://doi.org/10.1016/S0883-2927(99)00094-3,https://www.researchgate.net/publication/237605259_Fluid_Geochemistry_of_the_Acqui_Terme-Visone_Geothermal_Area_Piemonte_Italy,,8.62,,,,,142,7.3,0.14,1.9,n/a,80.5,12,78.1,127,n/a,n/a,n/a,0.23,20,Marini et al. 2000,https://doi.org/10.1016/S0883-2927(99)00094-3,,,,,,,,,,,
219,Acqui Terme,47,8.5,44.6833333,spring or shallow well,,,,,23,,,Marini et al. (2000),https://doi.org/10.1016/S0883-2927(99)00094-3,https://www.researchgate.net/publication/237605259_Fluid_Geochemistry_of_the_Acqui_Terme-Visone_Geothermal_Area_Piemonte_Italy,,7.67,,,,,561,133,4.22,12.4,n/a,928,4.7,196,101,n/a,n/a,n/a,1.1,42.8,Marini et al. 2000,https://doi.org/10.1016/S0883-2927(99)00094-3,,-9.01,-65.5,,,,,,Marini et al. (2000),https://doi.org/10.1016/S0883-2927(99)00094-3,
220,Acqui Terme,Vasca Rotonda,8.483333333,44.7644444,spring,,,,,42.5,,,Marini et al. (2000),https://doi.org/10.1016/S0883-2927(99)00094-3,https://www.researchgate.net/publication/237605259_Fluid_Geochemistry_of_the_Acqui_Terme-Visone_Geothermal_Area_Piemonte_Italy,,7.98,,,,,695,143,0.2,14.7,n/a,1170,5.8,226,21,n/a,n/a,n/a,1.36,49.8,Marini et al. 2000,https://doi.org/10.1016/S0883-2927(99)00094-3,,-8.29,-67.4,,,,,,Marini et al. (2000),https://doi.org/10.1016/S0883-2927(99)00094-3,
221,Acqui Terme,49,8.483333333,44.7644444,spring or shallow well,,,,,18,,,Marini et al. (2000),https://doi.org/10.1016/S0883-2927(99)00094-3,https://www.researchgate.net/publication/237605259_Fluid_Geochemistry_of_the_Acqui_Terme-Visone_Geothermal_Area_Piemonte_Italy,,7.58,,,,,840,74.2,17.5,11.5,n/a,1340,5.4,80.1,247,n/a,n/a,n/a,0.74,28.3,Marini et al. 2000,https://doi.org/10.1016/S0883-2927(99)00094-3,,-9.49,-68.3,,,,,,Marini et al. (2000),https://doi.org/10.1016/S0883-2927(99)00094-3,
222,Acqui Terme,50,8.445277778,44.3572222,spring or shallow well,,,,,14.5,,,Marini et al. (2000),https://doi.org/10.1016/S0883-2927(99)00094-3,https://www.researchgate.net/publication/237605259_Fluid_Geochemistry_of_the_Acqui_Terme-Visone_Geothermal_Area_Piemonte_Italy,,8.55,,,,,113,10,16,3.2,n/a,11,n/a,25.1,363,n/a,n/a,n/a,0.1,19.4,Marini et al. 2000,https://doi.org/10.1016/S0883-2927(99)00094-3,,-11.64,-82.8,,,,,,Marini et al. (2000),https://doi.org/10.1016/S0883-2927(99)00094-3,
223,Acqui Terme,Cassarogna,8.45,44.6666667,well,147.5,,,,26,,,Marini et al. (2000),https://doi.org/10.1016/S0883-2927(99)00094-3,https://www.researchgate.net/publication/237605259_Fluid_Geochemistry_of_the_Acqui_Terme-Visone_Geothermal_Area_Piemonte_Italy,,7.76,,,,,435,36.3,5.09,6.43,n/a,586,6.2,60,256,n/a,n/a,n/a,0.49,23.9,Marini et al. 2000,https://doi.org/10.1016/S0883-2927(99)00094-3,,-9.75,-69.3,,,,,,Marini et al. (2000),https://doi.org/10.1016/S0883-2927(99)00094-3,
224,Acqui Terme,5b,8.5,44.7644444,spring or shallow well,,,,,21.5,,,Marini et al. (2000),https://doi.org/10.1016/S0883-2927(99)00094-3,https://www.researchgate.net/publication/237605259_Fluid_Geochemistry_of_the_Acqui_Terme-Visone_Geothermal_Area_Piemonte_Italy,,7.58,,,,,563,135,4.12,12.4,n/a,940,4.5,192,91,n/a,n/a,n/a,1.09,41.9,Marini et al. 2000,https://doi.org/10.1016/S0883-2927(99)00094-3,,-9.07,-64.6,,,,,,Marini et al. (2000),https://doi.org/10.1016/S0883-2927(99)00094-3,
225,Acqui Terme,Lago della Sorgenti,8.466666667,44.7644444,spring,,,,,40,,,Marini et al. (2000),https://doi.org/10.1016/S0883-2927(99)00094-3,https://www.researchgate.net/publication/237605259_Fluid_Geochemistry_of_the_Acqui_Terme-Visone_Geothermal_Area_Piemonte_Italy,,7.87,,,,,703,143,0.21,14.6,n/a,1175,6.2,223,19,n/a,n/a,n/a,1.34,48.4,Marini et al. 2000,https://doi.org/10.1016/S0883-2927(99)00094-3,,-8.51,-66.9,,,,,,Marini et al. (2000),https://doi.org/10.1016/S0883-2927(99)00094-3,
226,Acqui Terme,7b,8.483333333,44.7644444,spring or shallow well,,,,,36,,,Marini et al. (2000),https://doi.org/10.1016/S0883-2927(99)00094-3,https://www.researchgate.net/publication/237605259_Fluid_Geochemistry_of_the_Acqui_Terme-Visone_Geothermal_Area_Piemonte_Italy,,8.32,,,,,686,140,0.41,14.4,n/a,1180,5.7,222,29,n/a,n/a,n/a,1.33,46.2,Marini et al. 2000,https://doi.org/10.1016/S0883-2927(99)00094-3,,,,,,,,,,,
227,Acqui Terme,La Bolente,8.466666667,44.7,spring,,,,,69.5,,,Marini et al. (2000),https://doi.org/10.1016/S0883-2927(99)00094-3,https://www.researchgate.net/publication/237605259_Fluid_Geochemistry_of_the_Acqui_Terme-Visone_Geothermal_Area_Piemonte_Italy,,8.16,,,,,661,136,0.14,14,n/a,1120,5.8,220,28,n/a,n/a,n/a,1.3,49.6,Marini et al. 2000,https://doi.org/10.1016/S0883-2927(99)00094-3,,-9.05,-68.2,,,,,,Marini et al. (2000),https://doi.org/10.1016/S0883-2927(99)00094-3,
228,Acqui Terme,15b,8.5,44.6833333,spring or shallow well,,,,,13.3,,,Marini et al. (2000),https://doi.org/10.1016/S0883-2927(99)00094-3,https://www.researchgate.net/publication/237605259_Fluid_Geochemistry_of_the_Acqui_Terme-Visone_Geothermal_Area_Piemonte_Italy,,7.04,,,,,388,107,8.53,7.15,n/a,619,3.2,152,153,n/a,2.9,n/a,0.72,27.4,Marini et al. 2000,https://doi.org/10.1016/S0883-2927(99)00094-3,,-8.81,-61.7,,,,,,Marini et al. (2000),https://doi.org/10.1016/S0883-2927(99)00094-3,
229,Acqui Terme,44b,8.5,44.6833333,spring or shallow well,,,,,31.5,,,Marini et al. (2000),https://doi.org/10.1016/S0883-2927(99)00094-3,https://www.researchgate.net/publication/237605259_Fluid_Geochemistry_of_the_Acqui_Terme-Visone_Geothermal_Area_Piemonte_Italy,,8.65,,,,,494,81.8,0.22,8.78,n/a,772,6.6,167,29,n/a,n/a,n/a,0.94,27.4,Marini et al. 2000,https://doi.org/10.1016/S0883-2927(99)00094-3,,-9.26,-66.6,,,,,,Marini et al. (2000),https://doi.org/10.1016/S0883-2927(99)00094-3,
230,Innichen,Solfurea,12.2879,46.7344,unknown,,,,,7,,,"Carlé, W. (1975): Die Mineral- und Thermalwässer von Mitteleuropa. Geologie, Chemismus, Genese. Wissenschaftliche Verlagsgesellschaft MBH, Stuttgart, 1975.",https://doi.org/10.1002/jobm.19770170413,,,,,,,,30,465,115,n/a,n/a,1,n/a,1233,505,n/a,n/a,n/a,n/a,,"Carlé, W. (1975): Die Mineral- und Thermalwässer von Mitteleuropa. Geologie, Chemismus, Genese. Wissenschaftliche Verlagsgesellschaft MBH, Stuttgart, 1975.",https://doi.org/10.1002/jobm.19770170413,,,,,,,,,,,
231,Innichen,Ferruginosa,12.2879,46.7344,unknown,,,,,7,,,"Carlé, W. (1975): Die Mineral- und Thermalwässer von Mitteleuropa. Geologie, Chemismus, Genese. Wissenschaftliche Verlagsgesellschaft MBH, Stuttgart, 1975.",https://doi.org/10.1002/jobm.19770170413,,,,,,,,22,473,72,n/a,n/a,n/a,n/a,1189,350,n/a,n/a,n/a,n/a,,"Carlé, W. (1975): Die Mineral- und Thermalwässer von Mitteleuropa. Geologie, Chemismus, Genese. Wissenschaftliche Verlagsgesellschaft MBH, Stuttgart, 1975.",https://doi.org/10.1002/jobm.19770170413,,,,,,,,,,,
